Name,Graduation Year,Current Occupation,Contact Info
Alumnus 1,2017-11,Occupation 1,contact1@email.com
Alumnus 2,2018-17,Occupation 2,contact2@email.com
Alumnus 3,2010-12,Occupation 3,contact3@email.com
Alumnus 4,2019-19,Occupation 4,contact4@email.com
Alumnus 5,2014-17,Occupation 5,contact5@email.com
Alumnus 6,2015-13,Occupation 6,contact6@email.com
Alumnus 7,2010-13,Occupation 7,contact7@email.com
Alumnus 8,2018-11,Occupation 8,contact8@email.com
Alumnus 9,2019-16,Occupation 9,contact9@email.com
Alumnus 10,2012-17,Occupation 10,contact10@email.com
